ViPhOG	Best_taxon	Rank	Min_score	Next_max_score
ViPhOG15100	Mimivirus	Genus	91.8	75.5
ViPhOG25181	Chlorovirus	Genus	77.6	nan
ViPhOG14202	Fromanvirus	Genus	32.0	nan
ViPhOG16497	Kayvirus	Genus	33.9	nan
ViPhOG22318	Fromanvirus	Genus	182.2	179.3
ViPhOG7362	Mimivirus	Genus	506.7	209.0
ViPhOG27382	Septimatrevirus	Genus	99.8	69.4
ViPhOG6445	Foveavirus	Genus	230.4	nan
ViPhOG25296	Chlorovirus	Genus	308.4	nan
ViPhOG10696	Kayvirus	Genus	213.0	207.6
ViPhOG18516	Siminovitchvirus	Genus	175.8	125.6
ViPhOG29153	Certrevirus	Genus	177.8	64.4
ViPhOG28118	Efquatrovirus	Genus	98.9	71.6
ViPhOG14845	Bixzunavirus	Genus	207.0	156.1
ViPhOG7754	Mimivirus	Genus	376.5	295.3
ViPhOG30407	Helsingorvirus	Genus	286.5	177.6
ViPhOG2038	Lentivirus	Genus	139.9	46.5
ViPhOG951	Alphamesonivirus	Genus	103.7	nan
ViPhOG12011	Bruynoghevirus	Genus	202.9	197.9
ViPhOG10671	Kayvirus	Genus	214.3	54.3
ViPhOG24853	Nankokuvirus	Genus	156.1	142.6
ViPhOG25310	Chlorovirus	Genus	228.6	36.3
ViPhOG1426	Rhadinovirus	Genus	38.5	33.6
ViPhOG16540	Deltapapillomavirus	Genus	33.2	nan
ViPhOG8407	Perisivirus	Genus	303.2	187.4
ViPhOG25177	Chlorovirus	Genus	147.5	nan
ViPhOG10660	Kayvirus	Genus	135.1	63.4
ViPhOG14910	Fromanvirus	Genus	159.3	46.1
ViPhOG15572	Mimivirus	Genus	45.7	36.7
ViPhOG25106	Chlorovirus	Genus	160.3	40.7
ViPhOG18052	Andromedavirus	Genus	427.0	132.7
ViPhOG27656	Chlorovirus	Genus	159.2	48.1
ViPhOG25313	Chlorovirus	Genus	234.2	33.0
ViPhOG11761	Aviadenovirus	Genus	31.8	nan
ViPhOG10677	Kayvirus	Genus	363.9	346.6
ViPhOG25334	Chlorovirus	Genus	65.9	nan
ViPhOG3787	Asfivirus	Genus	91.6	37.3
ViPhOG3695	Asfivirus	Genus	51.6	nan
ViPhOG10647	Kayvirus	Genus	144.5	31.9
ViPhOG25246	Chlorovirus	Genus	44.9	41.3
ViPhOG20471	Marseillevirus	Genus	166.0	42.3
ViPhOG6136	Kayvirus	Genus	189.2	38.8
ViPhOG20555	Certrevirus	Genus	212.6	161.3
ViPhOG20939	Simplexvirus	Genus	32.6	nan
ViPhOG2439	Ranavirus	Genus	477.0	39.7
ViPhOG7492	Mimivirus	Genus	317.8	247.3
ViPhOG6228	Kayvirus	Genus	271.7	41.9
ViPhOG7524	Mimivirus	Genus	270.9	238.2
ViPhOG1316	Dependoparvovirus	Genus	67.7	58.2
ViPhOG3939	Mastadenovirus	Genus	33.3	nan
ViPhOG25151	Chlorovirus	Genus	116.8	57.7
ViPhOG17338	Mimivirus	Genus	84.8	72.8
ViPhOG6215	Kayvirus	Genus	110.5	nan
ViPhOG25309	Chlorovirus	Genus	82.8	63.1
ViPhOG18078	Andromedavirus	Genus	81.5	65.3
ViPhOG16439	Allexivirus	Genus	184.0	49.1
ViPhOG25091	Chlorovirus	Genus	325.8	47.3
ViPhOG1288	Mastadenovirus	Genus	32.0	nan
ViPhOG6783	Tequintavirus	Genus	69.0	51.1
ViPhOG10657	Kayvirus	Genus	183.1	35.0
ViPhOG6455	Alphatectivirus	Genus	153.2	55.9
ViPhOG298	Waikavirus	Genus	128.3	45.8
ViPhOG25277	Chlorovirus	Genus	188.8	49.0
ViPhOG2411	Ranavirus	Genus	243.6	217.2
ViPhOG14452	Fromanvirus	Genus	200.7	36.1
ViPhOG25114	Chlorovirus	Genus	33.1	nan
ViPhOG27029	Rauchvirus	Genus	191.1	136.7
ViPhOG6121	Kayvirus	Genus	133.2	34.3
ViPhOG23236	Webervirus	Genus	966.5	916.8
ViPhOG25331	Chlorovirus	Genus	108.6	32.2
ViPhOG9645	Alphabaculovirus	Genus	40.3	nan
ViPhOG25207	Chlorovirus	Genus	288.2	nan
ViPhOG29992	Phicbkvirus	Genus	294.1	52.6
ViPhOG25308	Chlorovirus	Genus	73.3	32.1
ViPhOG25061	Chlorovirus	Genus	36.1	nan
ViPhOG7692	Mimivirus	Genus	174.7	168.0
ViPhOG19516	Pandoravirus	Genus	383.4	nan
ViPhOG6216	Kayvirus	Genus	107.5	44.8
ViPhOG2434	Ranavirus	Genus	134.1	54.6
ViPhOG25163	Chlorovirus	Genus	66.8	34.8
ViPhOG25268	Chlorovirus	Genus	317.3	48.3
ViPhOG10643	Kayvirus	Genus	171.7	nan
ViPhOG24352	Coopervirus	Genus	653.0	597.0
ViPhOG25273	Chlorovirus	Genus	375.2	32.9
ViPhOG6181	Kayvirus	Genus	90.5	nan
ViPhOG12655	Mastadenovirus	Genus	34.2	nan
ViPhOG10653	Kayvirus	Genus	103.6	54.1
ViPhOG14512	Timquatrovirus	Genus	123.3	61.7
ViPhOG8058	Mimivirus	Genus	935.9	42.4
ViPhOG25249	Chlorovirus	Genus	168.5	nan
ViPhOG14907	Fromanvirus	Genus	152.0	138.6
ViPhOG8013	Mimivirus	Genus	374.1	366.8
ViPhOG25203	Chlorovirus	Genus	132.8	40.7
ViPhOG17495	Mimivirus	Genus	40.0	38.6
ViPhOG3692	Asfivirus	Genus	41.7	nan
ViPhOG18324	Proboscivirus	Genus	58.5	nan
ViPhOG10713	Kayvirus	Genus	48.3	32.4
ViPhOG2308	Whispovirus	Genus	110.0	34.6
ViPhOG15823	Bronvirus	Genus	123.4	95.9
ViPhOG21654	Zindervirus	Genus	54.4	34.7
ViPhOG7053	Mimivirus	Genus	440.6	146.2
ViPhOG1047	Lymphocryptovirus	Genus	189.7	nan
ViPhOG25272	Chlorovirus	Genus	486.9	nan
ViPhOG25305	Chlorovirus	Genus	123.0	nan
ViPhOG18342	Proboscivirus	Genus	107.8	38.2
ViPhOG11257	Ampelovirus	Genus	279.9	nan
ViPhOG12623	Obolenskvirus	Genus	97.0	61.2
ViPhOG25093	Chlorovirus	Genus	82.6	41.7
ViPhOG894	Rosenblumvirus	Genus	156.0	123.5
ViPhOG28972	Wphvirus	Genus	187.5	185.8
ViPhOG4455	Tequatrovirus	Genus	103.7	nan
ViPhOG25168	Chlorovirus	Genus	96.5	31.9
ViPhOG4204	Cyprinivirus	Genus	502.0	48.8
ViPhOG25073	Chlorovirus	Genus	156.0	nan
ViPhOG2496	Ranavirus	Genus	208.3	50.2
ViPhOG2281	Whispovirus	Genus	3921.4	1755.2
ViPhOG23837	Kochikohdavirus	Genus	107.8	65.9
ViPhOG21560	Ranavirus	Genus	89.5	43.1
ViPhOG506	Betacoronavirus	Genus	64.6	nan
ViPhOG10650	Kayvirus	Genus	98.4	86.7
ViPhOG25031	Chlorovirus	Genus	70.7	34.5
ViPhOG25084	Chlorovirus	Genus	113.9	37.6
ViPhOG4424	Tequatrovirus	Genus	113.6	34.8
ViPhOG20221	Marseillevirus	Genus	72.2	38.3
ViPhOG10652	Kayvirus	Genus	126.7	37.7
ViPhOG25250	Chlorovirus	Genus	147.1	nan
ViPhOG25058	Chlorovirus	Genus	117.3	43.5
ViPhOG9040	Protoparvovirus	Genus	107.5	nan
ViPhOG29745	Eneladusvirus	Genus	309.9	292.2
ViPhOG8514	Cytomegalovirus	Genus	94.1	nan
ViPhOG22689	Kayvirus	Genus	116.6	50.6
ViPhOG2348	Whispovirus	Genus	72.1	38.3
ViPhOG15900	Coopervirus	Genus	248.4	226.5
ViPhOG19165	Pandoravirus	Genus	145.1	nan
ViPhOG12191	Prasinovirus	Genus	131.1	82.8
ViPhOG21868	Liefievirus	Genus	179.3	58.4
ViPhOG13661	Lymphocryptovirus	Genus	144.3	122.3
ViPhOG2402	Ranavirus	Genus	90.6	nan
ViPhOG9744	Avastrovirus	Genus	69.9	nan
ViPhOG6194	Kayvirus	Genus	104.2	nan
ViPhOG25261	Chlorovirus	Genus	118.6	32.8
ViPhOG3684	Asfivirus	Genus	230.2	59.1
ViPhOG778	Simplexvirus	Genus	59.6	36.3
ViPhOG6235	Kayvirus	Genus	280.7	34.7
ViPhOG10134	Cytomegalovirus	Genus	285.5	nan
ViPhOG17647	Mimivirus	Genus	238.7	121.5
ViPhOG6296	Varicellovirus	Genus	32.0	nan
ViPhOG15940	Bixzunavirus	Genus	116.8	47.8
ViPhOG9837	Leporipoxvirus	Genus	104.4	43.7
ViPhOG15171	Mimivirus	Genus	68.3	nan
ViPhOG28887	Phicbkvirus	Genus	442.7	143.2
ViPhOG14931	Timquatrovirus	Genus	40.7	nan
ViPhOG24158	Pbunavirus	Genus	59.7	nan
ViPhOG14978	Bixzunavirus	Genus	106.8	45.2
ViPhOG28425	Wphvirus	Genus	329.0	287.2
ViPhOG22057	Fromanvirus	Genus	169.7	149.5
ViPhOG2291	Whispovirus	Genus	183.3	36.6
ViPhOG23658	Vequintavirus	Genus	116.7	111.8
ViPhOG24432	Betabaculovirus	Genus	35.2	nan
ViPhOG28014	Brevidensovirus	Genus	362.1	292.8
ViPhOG10710	Kayvirus	Genus	144.9	32.9
ViPhOG6034	Orthopoxvirus	Genus	97.3	nan
ViPhOG12619	Obolenskvirus	Genus	449.1	374.0
ViPhOG11229	Parapoxvirus	Genus	466.4	34.3
ViPhOG10676	Kayvirus	Genus	141.4	81.2
ViPhOG1087	Lymphocryptovirus	Genus	61.5	nan
ViPhOG6118	Kayvirus	Genus	319.4	43.4
ViPhOG9603	Alphabaculovirus	Genus	304.2	nan
ViPhOG10707	Kayvirus	Genus	114.9	34.8
ViPhOG25932	Gammabaculovirus	Genus	133.2	109.5
ViPhOG28911	Wphvirus	Genus	145.4	98.2
ViPhOG25082	Chlorovirus	Genus	78.0	53.7
ViPhOG25104	Chlorovirus	Genus	237.6	54.1
ViPhOG4776	Varicellovirus	Genus	126.2	nan
ViPhOG25095	Chlorovirus	Genus	180.5	33.7
ViPhOG8530	Cytomegalovirus	Genus	204.5	nan
ViPhOG8357	Ranavirus	Genus	373.4	43.8
ViPhOG9044	Protoparvovirus	Genus	107.3	nan
ViPhOG19052	Pandoravirus	Genus	130.3	85.8
ViPhOG11459	Betabaculovirus	Genus	78.7	37.7
ViPhOG25267	Chlorovirus	Genus	221.7	44.2
ViPhOG6224	Kayvirus	Genus	114.7	54.1
ViPhOG2539	Leporipoxvirus	Genus	116.5	107.8
ViPhOG25090	Chlorovirus	Genus	185.2	35.0
ViPhOG12648	Obolenskvirus	Genus	115.1	54.4
ViPhOG27923	Mieseafarmvirus	Genus	217.2	46.9
ViPhOG25098	Chlorovirus	Genus	281.0	62.5
ViPhOG22310	Mivirus	Genus	60.5	nan
ViPhOG7597	Mimivirus	Genus	951.4	773.2
ViPhOG15504	Mimivirus	Genus	234.5	189.3
ViPhOG11807	Slopekvirus	Genus	145.5	101.5
ViPhOG11042	Bixzunavirus	Genus	77.2	45.7
ViPhOG17860	Tidunavirus	Genus	374.4	354.6
ViPhOG25306	Chlorovirus	Genus	474.0	32.8
ViPhOG20845	Zindervirus	Genus	159.0	nan
ViPhOG7404	Mimivirus	Genus	170.1	138.9
ViPhOG3715	Asfivirus	Genus	36.6	nan
ViPhOG3763	Asfivirus	Genus	730.0	182.6
ViPhOG20851	Zindervirus	Genus	60.7	33.3
ViPhOG25173	Chlorovirus	Genus	145.7	41.2
ViPhOG4737	Varicellovirus	Genus	64.2	nan
ViPhOG25222	Chlorovirus	Genus	118.9	55.5
ViPhOG27733	Chunghsingvirus	Genus	241.4	104.3
ViPhOG16331	Cripavirus	Genus	519.4	nan
ViPhOG11811	Slopekvirus	Genus	133.9	100.5
ViPhOG3889	Asfivirus	Genus	101.7	94.5
ViPhOG2955	Alphanudivirus	Genus	284.0	270.4
ViPhOG31041	Caeruleovirus	Genus	204.5	130.5
ViPhOG27429	Avihepatovirus	Genus	42.5	30.7
ViPhOG10899	Bixzunavirus	Genus	107.4	67.4
ViPhOG13156	Mimivirus	Genus	160.8	57.7
ViPhOG26432	Oshimavirus	Genus	474.4	449.7
ViPhOG671	Mastadenovirus	Genus	76.1	37.9
ViPhOG1334	Allolevivirus	Genus	102.0	nan
ViPhOG3830	Asfivirus	Genus	146.8	64.1
ViPhOG22476	Liefievirus	Genus	237.3	232.5
ViPhOG21947	Corndogvirus	Genus	242.8	85.6
ViPhOG24039	Emdodecavirus	Genus	200.1	154.6
ViPhOG3504	Parapoxvirus	Genus	113.9	111.7
ViPhOG25172	Chlorovirus	Genus	111.7	42.9
ViPhOG7411	Mimivirus	Genus	152.1	138.3
ViPhOG5747	Inhavirus	Genus	538.6	384.7
ViPhOG6682	Tequintavirus	Genus	155.2	51.6
ViPhOG13230	Polerovirus	Genus	189.0	63.8
ViPhOG7059	Mimivirus	Genus	119.2	45.8
ViPhOG18521	Siminovitchvirus	Genus	243.5	230.0
ViPhOG27134	Rudivirus	Genus	90.1	88.5
ViPhOG23631	Seunavirus	Genus	246.2	241.2
ViPhOG14401	Corndogvirus	Genus	345.7	159.6
ViPhOG29894	Phicbkvirus	Genus	483.1	66.3
ViPhOG21860	Liefievirus	Genus	87.1	nan
ViPhOG23585	Seunavirus	Genus	143.2	139.2
ViPhOG7636	Mimivirus	Genus	780.1	548.6
ViPhOG25324	Chlorovirus	Genus	234.7	nan
ViPhOG25188	Chlorovirus	Genus	368.5	53.6
ViPhOG6199	Kayvirus	Genus	63.7	nan
ViPhOG955	Alphamesonivirus	Genus	218.8	44.0
ViPhOG7429	Mimivirus	Genus	704.8	366.8
ViPhOG6237	Kayvirus	Genus	319.7	nan
ViPhOG13730	Felixounavirus	Genus	184.2	182.1
ViPhOG7405	Mimivirus	Genus	260.3	212.3
ViPhOG14447	Cheoctovirus	Genus	133.7	nan
ViPhOG15786	Bronvirus	Genus	83.9	83.8
ViPhOG7366	Mimivirus	Genus	1033.7	845.9
ViPhOG28746	Chloriridovirus	Genus	144.6	131.9
ViPhOG7658	Mimivirus	Genus	184.7	109.3
ViPhOG19616	Pandoravirus	Genus	126.2	nan
ViPhOG6114	Kayvirus	Genus	135.6	119.0
ViPhOG13683	Kolesnikvirus	Genus	142.0	38.5
ViPhOG3556	Sobemovirus	Genus	118.0	nan
ViPhOG15234	Mimivirus	Genus	326.7	283.8
ViPhOG9647	Alphabaculovirus	Genus	43.2	37.0
ViPhOG20858	Dhakavirus	Genus	108.4	105.9
ViPhOG9510	Vitivirus	Genus	62.3	38.7
ViPhOG6105	Kayvirus	Genus	252.9	34.6
ViPhOG7314	Mimivirus	Genus	84.2	39.6
ViPhOG3919	Asfivirus	Genus	94.4	nan
ViPhOG8593	Cytomegalovirus	Genus	231.5	33.4
ViPhOG24042	Emdodecavirus	Genus	160.3	74.5
ViPhOG14890	Mimivirus	Genus	235.6	nan
ViPhOG17901	Chivirus	Genus	56.0	55.3
ViPhOG9614	Alphabaculovirus	Genus	130.4	nan
ViPhOG21845	Liefievirus	Genus	103.8	35.3
ViPhOG7383	Mimivirus	Genus	1540.9	1188.5
ViPhOG8081	Mimivirus	Genus	701.7	117.2
ViPhOG25297	Chlorovirus	Genus	677.1	43.5
ViPhOG25047	Chlorovirus	Genus	77.9	nan
ViPhOG30151	Kayvirus	Genus	39.3	nan
ViPhOG7896	Mimivirus	Genus	1394.0	178.8
ViPhOG25052	Chlorovirus	Genus	383.2	40.6
ViPhOG29624	Bequatrovirus	Genus	184.6	48.3
ViPhOG19145	Pandoravirus	Genus	519.7	228.1
ViPhOG2544	Capripoxvirus	Genus	378.0	357.4
ViPhOG24155	Pbunavirus	Genus	137.1	115.7
ViPhOG27400	Yuavirus	Genus	50.2	48.6
ViPhOG862	Simplexvirus	Genus	88.1	71.6
ViPhOG31109	Bastillevirus	Genus	150.1	78.6
ViPhOG19158	Pandoravirus	Genus	102.0	56.1
ViPhOG18006	Ranavirus	Genus	73.5	33.3
ViPhOG5782	Inhavirus	Genus	254.7	94.7
ViPhOG17794	Mimivirus	Genus	78.2	41.8
ViPhOG2286	Whispovirus	Genus	429.2	41.3
ViPhOG20806	Simplexvirus	Genus	66.8	nan
ViPhOG2508	Ranavirus	Genus	363.9	284.2
ViPhOG12332	Betaretrovirus	Genus	255.7	228.9
ViPhOG9016	Cytomegalovirus	Genus	232.9	61.4
ViPhOG3838	Asfivirus	Genus	121.7	92.7
ViPhOG10688	Kayvirus	Genus	79.1	47.7
ViPhOG6535	Megalocytivirus	Genus	114.1	38.3
ViPhOG8550	Cytomegalovirus	Genus	106.3	nan
ViPhOG20198	Marseillevirus	Genus	201.3	nan
ViPhOG7678	Mimivirus	Genus	197.1	90.7
ViPhOG15934	Bixzunavirus	Genus	195.4	34.9
ViPhOG8576	Cytomegalovirus	Genus	82.7	31.5
ViPhOG8150	Mimivirus	Genus	141.5	104.0
ViPhOG7156	Mimivirus	Genus	107.1	61.5
ViPhOG10665	Kayvirus	Genus	174.8	147.4
ViPhOG25126	Chlorovirus	Genus	343.9	65.6
ViPhOG29927	Phicbkvirus	Genus	210.8	75.4
ViPhOG25079	Chlorovirus	Genus	310.5	nan
ViPhOG8370	Ranavirus	Genus	82.8	75.6
ViPhOG23270	Slashvirus	Genus	148.6	91.0
ViPhOG18325	Proboscivirus	Genus	132.6	nan
ViPhOG20847	Zindervirus	Genus	40.8	39.7
ViPhOG7230	Mimivirus	Genus	192.6	169.6
ViPhOG7894	Mimivirus	Genus	365.1	179.8
ViPhOG16735	Tulanevirus	Genus	97.9	94.9
ViPhOG7448	Mimivirus	Genus	923.1	826.2
ViPhOG8263	Mimivirus	Genus	33.2	nan
ViPhOG25315	Chlorovirus	Genus	42.8	nan
ViPhOG24848	Nankokuvirus	Genus	134.9	70.2
ViPhOG17337	Mimivirus	Genus	340.5	328.9
ViPhOG14684	Pbi1virus	Genus	417.5	417.2
ViPhOG23630	Certrevirus	Genus	335.8	288.2
ViPhOG25314	Chlorovirus	Genus	49.2	nan
ViPhOG1836	Mardivirus	Genus	526.3	nan
ViPhOG1738	Vesivirus	Genus	92.6	35.6
ViPhOG10712	Kayvirus	Genus	85.2	74.9
ViPhOG17324	Mimivirus	Genus	217.8	106.2
ViPhOG5759	Inhavirus	Genus	152.9	126.4
ViPhOG1077	Lymphocryptovirus	Genus	434.2	nan
ViPhOG24151	Pbunavirus	Genus	67.6	31.9
ViPhOG10741	Ostreavirus	Genus	1475.0	1309.9
ViPhOG6035	Orthopoxvirus	Genus	93.8	84.2
ViPhOG25323	Chlorovirus	Genus	310.1	44.1
ViPhOG1826	Iltovirus	Genus	108.6	106.6
ViPhOG11689	Iotatorquevirus	Genus	65.4	nan
ViPhOG11747	Aviadenovirus	Genus	143.2	45.7
ViPhOG28075	Lederbergvirus	Genus	157.1	147.0
ViPhOG25554	Ravinvirus	Genus	213.5	208.5
ViPhOG22275	Omegavirus	Genus	145.6	72.4
ViPhOG13496	Seunavirus	Genus	74.1	70.3
ViPhOG11453	Betabaculovirus	Genus	72.2	54.6
ViPhOG21659	Zindervirus	Genus	87.9	36.6
ViPhOG25097	Chlorovirus	Genus	138.4	40.4
ViPhOG12283	Prasinovirus	Genus	54.9	42.3
ViPhOG10747	Ostreavirus	Genus	1497.7	1403.8
ViPhOG3776	Asfivirus	Genus	667.3	167.6
ViPhOG28952	Bastillevirus	Genus	131.3	128.9
ViPhOG15307	Mimivirus	Genus	627.3	nan
ViPhOG7573	Mimivirus	Genus	386.4	328.6
ViPhOG1190	Klementvirus	Genus	147.8	141.5
ViPhOG6717	Tequintavirus	Genus	116.6	nan
ViPhOG22526	Tequintavirus	Genus	130.6	121.0
ViPhOG25128	Chlorovirus	Genus	223.5	40.7
ViPhOG21764	Pecentumvirus	Genus	202.6	177.5
ViPhOG395	Novirhabdovirus	Genus	258.9	nan
ViPhOG1115	Orthohepevirus	Genus	77.8	nan
ViPhOG20325	Marseillevirus	Genus	150.9	48.3
ViPhOG22357	Fromanvirus	Genus	31.9	nan
ViPhOG14869	Mimivirus	Genus	329.0	90.4
ViPhOG1389	Hypovirus	Genus	36.8	nan
ViPhOG22519	Tequintavirus	Genus	79.0	nan
ViPhOG11745	Aviadenovirus	Genus	32.9	nan
ViPhOG6391	Cytomegalovirus	Genus	101.2	93.3
ViPhOG23331	Drulisvirus	Genus	130.0	119.3
ViPhOG29744	Alcyoneusvirus	Genus	677.1	504.3
ViPhOG2409	Ranavirus	Genus	118.6	47.7
ViPhOG27935	Erskinevirus	Genus	303.1	299.2
ViPhOG2503	Ranavirus	Genus	244.8	nan
ViPhOG7515	Mimivirus	Genus	251.2	33.5
ViPhOG19495	Pandoravirus	Genus	270.8	83.8
ViPhOG24427	Chakrabartyvirus	Genus	184.1	74.9
ViPhOG17944	Gamaleyavirus	Genus	120.4	53.1
ViPhOG12664	Iotatorquevirus	Genus	102.0	nan
ViPhOG27610	Chlorovirus	Genus	31.7	nan
ViPhOG24150	Pbunavirus	Genus	145.3	37.6
ViPhOG26303	Timquatrovirus	Genus	111.2	61.0
ViPhOG30144	Perisivirus	Genus	133.3	98.6
ViPhOG2445	Ranavirus	Genus	187.9	37.8
ViPhOG11771	Aviadenovirus	Genus	122.4	nan
ViPhOG28341	Cinunavirus	Genus	304.1	302.7
ViPhOG19424	Pandoravirus	Genus	107.9	89.8
ViPhOG13702	Deltapapillomavirus	Genus	109.6	98.5
ViPhOG19592	Pandoravirus	Genus	97.7	39.5
ViPhOG30683	Likavirus	Genus	56.3	54.3
ViPhOG16473	Teseptimavirus	Genus	107.2	32.4
ViPhOG22536	Tequintavirus	Genus	143.6	nan
ViPhOG867	Simplexvirus	Genus	54.5	nan
ViPhOG25269	Chlorovirus	Genus	62.2	58.7
ViPhOG22042	Otagovirus	Genus	83.8	71.7
ViPhOG179	Betatorquevirus	Genus	44.2	nan
ViPhOG18054	Andromedavirus	Genus	102.1	80.4
ViPhOG20465	Marseillevirus	Genus	172.7	59.2
ViPhOG22065	Fromanvirus	Genus	97.1	34.7
ViPhOG2398	Ranavirus	Genus	84.7	52.8
ViPhOG16545	Litunavirus	Genus	137.7	131.5
ViPhOG15987	Tsarbombavirus	Genus	166.8	149.4
ViPhOG9916	Ranavirus	Genus	95.3	36.2
ViPhOG30168	Cequinquevirus	Genus	150.9	94.9
ViPhOG6966	Mimivirus	Genus	371.8	90.8
ViPhOG18578	Siminovitchvirus	Genus	194.1	79.7
ViPhOG8067	Mimivirus	Genus	247.5	40.5
ViPhOG29865	Phicbkvirus	Genus	1246.0	204.9
ViPhOG19058	Pandoravirus	Genus	510.0	nan
ViPhOG8575	Cytomegalovirus	Genus	77.5	76.3
ViPhOG4201	Cyprinivirus	Genus	538.7	36.7
ViPhOG4739	Varicellovirus	Genus	49.6	nan
ViPhOG7617	Mimivirus	Genus	412.7	207.7
ViPhOG5930	Phikzvirus	Genus	577.2	561.9
ViPhOG25208	Chlorovirus	Genus	111.7	38.1
ViPhOG6116	Kayvirus	Genus	307.1	126.1
ViPhOG30111	Phicbkvirus	Genus	181.8	78.7
ViPhOG29701	Alcyoneusvirus	Genus	774.5	773.2
ViPhOG21859	Liefievirus	Genus	58.6	nan
ViPhOG22698	Kayvirus	Genus	227.0	50.7
ViPhOG1078	Lymphocryptovirus	Genus	96.5	60.3
ViPhOG8381	Lentivirus	Genus	103.9	nan
ViPhOG14007	Omegavirus	Genus	95.8	48.7
ViPhOG9648	Alphabaculovirus	Genus	74.5	nan
ViPhOG2466	Ranavirus	Genus	244.9	32.0
ViPhOG15685	Fishburnevirus	Genus	222.3	214.8
ViPhOG13984	Omegavirus	Genus	128.6	70.5
ViPhOG19151	Pandoravirus	Genus	80.9	62.4
ViPhOG8573	Cytomegalovirus	Genus	96.9	nan
ViPhOG6268	Vitivirus	Genus	35.1	nan
ViPhOG25076	Chlorovirus	Genus	73.0	49.0
ViPhOG23246	Gammapapillomavirus	Genus	32.2	nan
ViPhOG2976	Lentivirus	Genus	136.8	nan
ViPhOG1110	Lymphocryptovirus	Genus	1810.6	664.9
ViPhOG15933	Bixzunavirus	Genus	214.1	41.6
ViPhOG9594	Alphabaculovirus	Genus	35.0	nan
ViPhOG25153	Chlorovirus	Genus	81.1	nan
ViPhOG17204	Mamastrovirus	Genus	89.9	42.1
ViPhOG9612	Alphabaculovirus	Genus	94.7	nan
ViPhOG18725	Fromanvirus	Genus	124.6	nan
ViPhOG15042	Prasinovirus	Genus	37.4	nan
ViPhOG16458	Bixzunavirus	Genus	40.3	nan
ViPhOG2444	Ranavirus	Genus	54.1	nan
ViPhOG11595	Felixounavirus	Genus	209.2	197.8
ViPhOG18879	Alphabaculovirus	Genus	32.4	nan
ViPhOG21879	Liefievirus	Genus	50.7	45.9
ViPhOG8580	Cytomegalovirus	Genus	32.6	nan
ViPhOG14850	Cheoctovirus	Genus	129.7	108.2
ViPhOG25291	Chlorovirus	Genus	185.3	35.2
ViPhOG30803	Helsingorvirus	Genus	69.4	43.2
ViPhOG17467	Mimivirus	Genus	104.7	37.5
ViPhOG9513	Mastadenovirus	Genus	33.9	nan
ViPhOG2416	Ranavirus	Genus	33.1	nan
ViPhOG6300	Varicellovirus	Genus	78.7	34.5
ViPhOG4790	Varicellovirus	Genus	41.8	nan
ViPhOG13196	Mimivirus	Genus	99.5	98.6
ViPhOG6932	Mimivirus	Genus	138.5	117.4
ViPhOG20795	Simplexvirus	Genus	33.5	nan
ViPhOG398	Novirhabdovirus	Genus	80.6	nan
ViPhOG2484	Ranavirus	Genus	468.1	351.6
ViPhOG10646	Kayvirus	Genus	155.2	140.4
ViPhOG29541	Bequatrovirus	Genus	104.2	76.4
ViPhOG6795	Tequintavirus	Genus	93.5	nan
ViPhOG18724	Fromanvirus	Genus	121.0	70.9
ViPhOG3305	Avihepadnavirus	Genus	77.5	67.4
ViPhOG15885	Pipefishvirus	Genus	276.4	177.0
ViPhOG11067	Bixzunavirus	Genus	301.9	nan
ViPhOG26338	Fijivirus	Genus	65.4	nan
ViPhOG9623	Alphabaculovirus	Genus	56.9	nan
ViPhOG25538	Alphabaculovirus	Genus	41.3	nan
ViPhOG22226	Timquatrovirus	Genus	32.1	nan
ViPhOG29644	Bequatrovirus	Genus	108.8	58.3
ViPhOG19379	Pandoravirus	Genus	158.3	42.4
ViPhOG23603	Certrevirus	Genus	145.9	113.3
ViPhOG18972	Pandoravirus	Genus	426.4	nan
ViPhOG20607	Nankokuvirus	Genus	368.7	307.0
ViPhOG25019	Chlorovirus	Genus	83.7	49.3
ViPhOG14280	Fromanvirus	Genus	104.0	50.7
ViPhOG12306	Prasinovirus	Genus	175.1	126.2
ViPhOG27231	Yuavirus	Genus	73.1	56.6
ViPhOG10687	Kayvirus	Genus	120.2	42.2
ViPhOG26474	Barnyardvirus	Genus	313.0	210.6
ViPhOG15878	Pipefishvirus	Genus	85.9	72.9
ViPhOG27667	Zindervirus	Genus	50.3	39.3
ViPhOG20842	Zindervirus	Genus	62.5	37.2
ViPhOG24818	Nankokuvirus	Genus	231.6	nan
ViPhOG30172	Cequinquevirus	Genus	150.9	74.9
ViPhOG27916	Mieseafarmvirus	Genus	665.4	50.4
ViPhOG3239	Alphabaculovirus	Genus	31.7	nan
ViPhOG6898	Mimivirus	Genus	45.8	40.1
ViPhOG28924	Bastillevirus	Genus	148.6	144.2
ViPhOG2180	Whispovirus	Genus	362.2	127.2
ViPhOG921	Tombusvirus	Genus	324.0	292.4
ViPhOG11259	Ampelovirus	Genus	130.5	58.1
ViPhOG18459	Slashvirus	Genus	124.9	44.0
ViPhOG25211	Chlorovirus	Genus	153.2	nan
ViPhOG15459	Mimivirus	Genus	446.7	37.9
ViPhOG21957	Corndogvirus	Genus	119.3	47.0
ViPhOG11161	Kostyavirus	Genus	219.7	nan
