ViPhOG	Best_taxon	Rank	Min_score	Next_max_score
ViPhOG10280	Vhmlvirus	Genus	279.8	266.4
ViPhOG1023	Betaarterivirus	Genus	160.8	158.8
ViPhOG1013	Betaarterivirus	Genus	183.9	168.4
ViPhOG1012	Betaarterivirus	Genus	266.8	220.2
ViPhOG7112	Mimivirus	Genus	196.1	173.7
ViPhOG7538	Mimivirus	Genus	281.6	190.3
ViPhOG1343	Alphavirus	Genus	135.0	nan
ViPhOG1025	Betaarterivirus	Genus	93.8	78.2
ViPhOG1026	Betaarterivirus	Genus	95.1	85.3
ViPhOG11703	Jilinvirus	Genus	123.4	87.2
ViPhOG5005	Cronusvirus	Genus	207.1	158.2
ViPhOG12194	Prasinovirus	Genus	262.9	257.8
ViPhOG1897	Jerseyvirus	Genus	188.5	188.3
ViPhOG7806	Mimivirus	Genus	252.8	180.1
ViPhOG6506	Alphacoronavirus	Genus	81.4	nan
ViPhOG6935	Mimivirus	Genus	156.7	74.7
ViPhOG18703	Cequinquevirus	Genus	128.9	119.5
ViPhOG29096	Sextaecvirus	Genus	207.1	110.8
ViPhOG16393	Titanvirus	Genus	823.3	760.9
ViPhOG1010	Betaarterivirus	Genus	460.9	407.6
ViPhOG6385	Cytomegalovirus	Genus	309.5	57.9
ViPhOG5271	Phicbkvirus	Genus	198.7	190.3
ViPhOG7812	Mimivirus	Genus	328.3	299.6
ViPhOG23782	Tinduovirus	Genus	581.3	348.3
ViPhOG4898	Cinunavirus	Genus	415.9	206.2
ViPhOG693	Metapneumovirus	Genus	263.7	262.0
ViPhOG9690	Mandarivirus	Genus	297.9	156.3
ViPhOG10031	Bixzunavirus	Genus	2013.8	156.0
ViPhOG25220	Chlorovirus	Genus	389.5	150.6
ViPhOG19393	Pandoravirus	Genus	724.3	97.0
ViPhOG15515	Cafeteriavirus	Genus	393.9	346.7
ViPhOG15686	Gilesvirus	Genus	284.6	253.8
ViPhOG25142	Chlorovirus	Genus	220.2	100.0
ViPhOG244	Closterovirus	Genus	282.5	nan
ViPhOG1346	Alphavirus	Genus	158.9	64.2
ViPhOG26050	Chloriridovirus	Genus	464.0	453.3
ViPhOG24336	Phayoncevirus	Genus	183.3	145.5
ViPhOG17558	Mimivirus	Genus	582.4	101.7
ViPhOG4821	Septimatrevirus	Genus	178.9	171.5
ViPhOG7815	Mimivirus	Genus	444.5	340.5
ViPhOG1436	Rhadinovirus	Genus	171.4	73.8
ViPhOG4378	Cyprinivirus	Genus	114.4	114.3
ViPhOG1345	Alphavirus	Genus	66.9	nan
ViPhOG7981	Mimivirus	Genus	297.5	249.9
ViPhOG24393	Incheonvrus	Genus	1109.9	579.5
ViPhOG15216	Cafeteriavirus	Genus	447.8	363.9
ViPhOG17851	Elvirus	Genus	210.6	184.5
ViPhOG17114	Xiamenvirus	Genus	445.4	382.7
ViPhOG7540	Mimivirus	Genus	1250.6	775.0
ViPhOG4560	Dhakavirus	Genus	198.1	196.5
ViPhOG3790	Asfivirus	Genus	250.3	192.5
ViPhOG4118	Cytomegalovirus	Genus	164.1	160.7
ViPhOG4835	Bifseptvirus	Genus	359.6	337.3
ViPhOG8021	Mimivirus	Genus	235.5	216.6
ViPhOG1016	Betaarterivirus	Genus	67.4	33.5
ViPhOG10925	Bixzunavirus	Genus	400.9	261.3
ViPhOG26551	Klementvirus	Genus	1854.0	1781.4
ViPhOG23623	Vequintavirus	Genus	1304.2	1008.5
ViPhOG6504	Alphacoronavirus	Genus	178.9	58.3
ViPhOG18539	Siminovitchvirus	Genus	159.3	106.1
ViPhOG19625	Pandoravirus	Genus	393.6	95.9
ViPhOG7880	Mimivirus	Genus	521.6	322.0
ViPhOG9682	Lagovirus	Genus	356.6	37.5
ViPhOG27254	Phicbkvirus	Genus	458.8	377.1
ViPhOG5893	Dhakavirus	Genus	203.4	199.7
ViPhOG4955	Alcyoneusvirus	Genus	893.3	830.4
ViPhOG7994	Pecentumvirus	Genus	180.1	128.5
ViPhOG18018	Lessievirus	Genus	120.1	117.4
ViPhOG31021	Otagovirus	Genus	173.7	154.0
ViPhOG20599	Seunavirus	Genus	1080.9	979.9
ViPhOG22673	Timquatrovirus	Genus	172.8	129.5
ViPhOG3	Pegivirus	Genus	40.7	nan
ViPhOG12139	Abouovirus	Genus	206.7	205.9
ViPhOG6428	Ebolavirus	Genus	1003.3	1002.6
ViPhOG21618	Kayvirus	Genus	565.2	469.4
ViPhOG14066	Hawkeyevirus	Genus	143.3	134.9
ViPhOG19415	Pandoravirus	Genus	218.4	95.1
ViPhOG6917	Mimivirus	Genus	322.7	283.3
ViPhOG19593	Pandoravirus	Genus	498.3	110.1
ViPhOG5010	Zindervirus	Genus	231.1	176.2
ViPhOG5733	Inhavirus	Genus	194.9	151.5
ViPhOG19335	Pandoravirus	Genus	286.7	120.8
ViPhOG21747	Popoffvirus	Genus	670.9	453.1
ViPhOG23430	Gordtnkvirus	Genus	367.3	240.5
ViPhOG19333	Pandoravirus	Genus	219.7	108.3
ViPhOG8398	Norovirus	Genus	34.7	nan
ViPhOG10032	Pegunavirus	Genus	1395.1	816.2
ViPhOG22233	Timquatrovirus	Genus	466.3	243.2
ViPhOG719	Erythroparvovirus	Genus	42.8	nan
ViPhOG7544	Mimivirus	Genus	567.1	510.2
ViPhOG27404	Yuavirus	Genus	353.2	73.1
ViPhOG13154	Mimivirus	Genus	125.0	89.7
ViPhOG12456	Timquatrovirus	Genus	310.1	299.9
ViPhOG255	Closterovirus	Genus	60.1	33.4
ViPhOG12385	Lentivirus	Genus	726.6	nan
ViPhOG23025	Kuravirus	Genus	926.5	321.5
ViPhOG717	Erythroparvovirus	Genus	41.3	nan
ViPhOG14713	Fromanvirus	Genus	142.6	118.9
ViPhOG24480	Xiamenvirus	Genus	117.3	115.8
ViPhOG3425	Avipoxvirus	Genus	404.2	129.0
ViPhOG11106	Gaiavirus	Genus	959.4	388.9
ViPhOG11270	Unaquatrovirus	Genus	254.0	105.9
ViPhOG25591	Lomovskayavirus	Genus	375.9	353.4
ViPhOG21854	Mapvirus	Genus	233.5	156.0
ViPhOG23512	Orthopneumovirus	Genus	240.1	154.1
ViPhOG26957	Lessievirus	Genus	337.3	300.8
ViPhOG1342	Alphavirus	Genus	196.9	nan
ViPhOG2984	Lentivirus	Genus	447.4	nan
